appid,name,release_date,achievements,categories,windows,mac,linux,developer,dlc_count,languages,required_age,price,short_description,players_now,reviews_positive,reviews_negative
2215430,Ghost of Tsushima DIRECTOR'S CUT,"May 16, 2024",77,2:Single-player;1:Multi-player;49:PvP;36:Online PvP;9:Co-op;38:Online Co-op;22:Steam Achievements;28:Full controller support;29:Steam Trading Cards;64:Adjustable Text Size;67:Camera Comfort;66:Color Alternatives;68:Custom Volume Controls;78:Adjustable Difficulty;74:Playable without Timed Input;79:Save Anytime;69:Stereo Sound;65:Subtitle Options;70:Surround Sound;23:Steam Cloud;61:HDR available;62:Family Sharing,True,False,False,Sucker Punch Productions,1,English*;French*;Italian*;German*;Spanish - Spain*;Arabic;Czech;Danish;Dutch;Finnish;Greek;Hungarian;Japanese*;Korean;Norwegian;Polish*;Portuguese - Brazil*;Portuguese - Portugal*;Russian*;Simplified Chinese;Spanish - Latin America*;Swedish;Thai;Traditional Chinese;Turkish;Croatian*languages with full audio support,17,35.99,"A storm is coming. Venture into the complete Ghost of Tsushima DIRECTOR’S CUT on PC; forge your own path through this open-world action adventure and uncover its hidden wonders. Brought to you by Sucker Punch Productions, Nixxes Software and PlayStation Studios.",5240.0,48487,3251
2373990,Solo Leveling: ARISE OVERDRIVE,"Nov 24, 2025",58,2:Single-player;1:Multi-player;9:Co-op;38:Online Co-op;28:Full controller support;62:Family Sharing,True,False,False,Netmarble Neo,1,English*;Korean*;French;Italian;German;Spanish - Spain;Russian;Indonesian;Japanese*;Simplified Chinese;Traditional Chinese;Thai;Portuguese - Brazil*languages with full audio support,0,39.99,"Solo Leveling, the webtoon with 14.3 billion views worldwide, is now an action RPG game! Help our hero grow from his humble E-Rank beginnings.",6527.0,1727,640
2767030,Marvel Rivals,"Dec 5, 2024",49,1:Multi-player;49:PvP;36:Online PvP;9:Co-op;38:Online Co-op;27:Cross-Platform Multiplayer;22:Steam Achievements;28:Full controller support;35:In-App Purchases,True,False,False,NetEase Games,0,English*;French;Italian;German;Spanish - Spain;Russian;Turkish;Thai;Simplified Chinese*;Traditional Chinese;Spanish - Latin America;Korean;Japanese*;Polish;Portuguese - Brazil;Arabic*languages with full audio support,0,0.0,"Marvel Rivals is a Super Hero Team-Based PVP Shooter! Assemble an all-star Marvel squad, devise countless strategies by combining powers to form unique Team-Up skills and fight in destructible, ever-changing battlefields across the continually evolving Marvel universe!",31629.0,0,0
438100,VRChat,"Feb 1, 2017",0,1:Multi-player;20:MMO;49:PvP;36:Online PvP;9:Co-op;38:Online Co-op;27:Cross-Platform Multiplayer;28:Full controller support;52:Tracked Controller Support;53:VR Supported;35:In-App Purchases,True,False,False,VRChat Inc.,0,English;French;Italian;German;Spanish - Spain;Japanese;Polish;Portuguese - Brazil;Russian;Simplified Chinese;Traditional Chinese,0,0.0,"Join our growing community as you explore, play, and help craft the future of social VR. Create worlds and custom avatars. Welcome to VRChat.",32746.0,124,25
230410,Warframe,"Mar 25, 2013",193,2:Single-player;1:Multi-player;9:Co-op;38:Online Co-op;27:Cross-Platform Multiplayer;22:Steam Achievements;28:Full controller support;29:Steam Trading Cards;30:Steam Workshop;35:In-App Purchases;67:Camera Comfort;66:Color Alternatives;68:Custom Volume Controls;74:Playable without Timed Input;69:Stereo Sound;70:Surround Sound;41:Remote Play on Phone;42:Remote Play on Tablet;43:Remote Play on TV;61:HDR available,True,False,False,Digital Extremes,14,English*;German;French;Italian;Korean;Spanish - Spain;Simplified Chinese;Russian;Japanese;Polish;Portuguese - Brazil;Traditional Chinese;Turkish;Ukrainian;Thai*languages with full audio support,17,0.0,Awaken as an unstoppable warrior and battle alongside your friends in this story-driven free-to-play online action game,46951.0,2525,352
3606480,Call of Duty®: Black Ops 7,"Nov 13, 2025",0,2:Single-player;1:Multi-player;49:PvP;36:Online PvP;9:Co-op;38:Online Co-op;27:Cross-Platform Multiplayer;22:Steam Achievements;13:Captions available;35:In-App Purchases;64:Adjustable Text Size;67:Camera Comfort;66:Color Alternatives;68:Custom Volume Controls;74:Playable without Timed Input;69:Stereo Sound;65:Subtitle Options;70:Surround Sound;18:Partial Controller Support;61:HDR available,True,False,False,Treyarch,0,English*;French*;Italian*;German*;Spanish - Spain*;Korean;Polish;Russian;Traditional Chinese;Japanese*;Spanish - Latin America*;Arabic;Simplified Chinese*;Portuguese - Brazil**languages with full audio support,17,69.99,"In Call of Duty®: Black Ops 7, Treyarch and Raven Software are bringing players the biggest Black Ops ever across an innovative Co-Op Campaign, an electrifying Multiplayer experience, and the legendary Round-Based Zombies mode.",0.0,797,1278
3017860,DOOM: The Dark Ages,"May 14, 2025",28,2:Single-player;22:Steam Achievements;28:Full controller support;29:Steam Trading Cards;66:Color Alternatives;78:Adjustable Difficulty;70:Surround Sound;23:Steam Cloud;61:HDR available;62:Family Sharing,True,False,False,id Software,1,English*;French*;Italian*;German*;Spanish - Spain*;Arabic;Korean;Polish*;Portuguese - Brazil*;Russian*;Simplified Chinese;Spanish - Latin America*;Traditional Chinese;Japanese*;Turkish*languages with full audio support,17,34.99,"DOOM: The Dark Ages is the prequel to the critically acclaimed DOOM (2016) and DOOM Eternal that tells an epic cinematic story worthy of the DOOM Slayer’s legend. Players will step into the blood-stained boots of the DOOM Slayer, in this never-before-seen dark and sinister medieval war against Hell.",871.0,17557,2584
306130,The Elder Scrolls® Online,"May 22, 2017",0,1:Multi-player;20:MMO;49:PvP;36:Online PvP;9:Co-op;38:Online Co-op;29:Steam Trading Cards;13:Captions available;35:In-App Purchases;67:Camera Comfort;68:Custom Volume Controls;74:Playable without Timed Input;69:Stereo Sound;70:Surround Sound;18:Partial Controller Support;61:HDR available;62:Family Sharing,True,True,False,ZeniMax Online Studios,6,English*;French*;German*;Russian;Spanish - Spain;Simplified Chinese*languages with full audio support,17,4.99,"Every legend starts somewhere and in The Elder Scrolls Online, it starts with you. Join millions of players in an online, fantasy RPG set in a vast living Elder Scrolls world.",6074.0,107606,22831
3240220,Grand Theft Auto V Enhanced,"Mar 4, 2025",77,2:Single-player;1:Multi-player;49:PvP;36:Online PvP;9:Co-op;38:Online Co-op;22:Steam Achievements;35:In-App Purchases;18:Partial Controller Support;41:Remote Play on Phone;42:Remote Play on Tablet,True,False,False,Rockstar North,0,English*;French;Italian;German;Spanish - Spain;Japanese;Korean;Polish;Portuguese - Brazil;Russian;Simplified Chinese;Spanish - Latin America;Traditional Chinese*languages with full audio support,17,14.99,"Experience entertainment blockbusters Grand Theft Auto V and Grand Theft Auto Online — now upgraded for a new generation with stunning visuals, faster loading, 3D audio, and more, plus exclusive content for GTA Online players.",48209.0,82456,24287
311210,Call of Duty®: Black Ops III,"Nov 5, 2015",98,2:Single-player;1:Multi-player;9:Co-op;24:Shared/Split Screen;22:Steam Achievements;28:Full controller support;29:Steam Trading Cards;30:Steam Workshop;8:Valve Anti-Cheat enabled;25:Steam Leaderboards;41:Remote Play on Phone;42:Remote Play on Tablet;43:Remote Play on TV;44:Remote Play Together;62:Family Sharing,True,True,False,Treyarch,10,English*;French*;Italian*;German*;Spanish - Spain*;Simplified Chinese;Traditional Chinese;Japanese;Polish;Portuguese - Brazil*;Russian**languages with full audio support,17,19.79,Call of Duty®: Black Ops III Zombies Chronicles Edition includes the full base game plus the Zombies Chronicles content expansion.,3733.0,128998,17393
3230400,EA SPORTS™ Madden NFL 26,"Aug 14, 2025",28,2:Single-player;1:Multi-player;49:PvP;36:Online PvP;37:Shared/Split Screen PvP;9:Co-op;38:Online Co-op;39:Shared/Split Screen Co-op;24:Shared/Split Screen;27:Cross-Platform Multiplayer;22:Steam Achievements;28:Full controller support;35:In-App Purchases;67:Camera Comfort;72:Chat Speech-to-text;73:Chat Text-to-speech;66:Color Alternatives;78:Adjustable Difficulty;74:Playable without Timed Input;69:Stereo Sound;70:Surround Sound;61:HDR available;62:Family Sharing,True,False,False,Tiburon,0,English**languages with full audio support,0,34.99,EA SPORTS™ Madden NFL 26 leverages a new AI-powered machine learning system to convert thousands of plays from nearly a decade of real NFL data into more explosive gameplay.,2093.0,977,1194
266410,iRacing,"Jan 12, 2015",0,2:Single-player;1:Multi-player;20:MMO;49:PvP;36:Online PvP;31:VR Support;18:Partial Controller Support;62:Family Sharing,True,False,False,iRacing.com Motorsport Simulations,0,English**languages with full audio support,0,9.99,"We are the world’s premier motorsports racing game. An iRacing membership provides entry into the newest form of motorsport: internet racing. Internet racing is a fun, easy, and inexpensive way for race fan and gamers alike to enjoy the thrill of the racetrack from the comfort of their home.",340.0,3662,697
1174180,Red Dead Redemption 2,"Dec 5, 2019",51,2:Single-player;1:Multi-player;49:PvP;36:Online PvP;9:Co-op;38:Online Co-op;22:Steam Achievements;35:In-App Purchases;18:Partial Controller Support;41:Remote Play on Phone;42:Remote Play on Tablet,True,False,False,Rockstar Games,0,English*;French;Italian;German;Spanish - Spain;Japanese;Korean;Polish;Russian;Simplified Chinese;Spanish - Latin America;Traditional Chinese;Portuguese - Brazil*languages with full audio support,17,14.99,"Arthur Morgan and the Van der Linde Gang are outlaws on the run. With federal agents and bounty hunters massing on their heels, the gang must rob, steal, and fight their way across the rugged heartland in order to survive.",28846.0,683135,58804
1085660,Destiny 2,"Oct 1, 2019",23,2:Single-player;1:Multi-player;49:PvP;36:Online PvP;9:Co-op;38:Online Co-op;22:Steam Achievements;35:In-App Purchases;66:Color Alternatives;68:Custom Volume Controls;65:Subtitle Options;18:Partial Controller Support,True,False,False,Bungie,15,English*;French*;Italian*;German*;Spanish - Spain*;Japanese*;Korean*;Polish*;Portuguese - Brazil*;Russian*;Simplified Chinese*;Spanish - Latin America*;Traditional Chinese*languages with full audio support,0,0.0,"Destiny 2 is an action MMO with a single evolving world that you and your friends can join anytime, anywhere, absolutely free.",8656.0,100157,32321
3472040,NBA 2K26,"Sep 4, 2025",48,2:Single-player;1:Multi-player;49:PvP;36:Online PvP;37:Shared/Split Screen PvP;9:Co-op;38:Online Co-op;39:Shared/Split Screen Co-op;24:Shared/Split Screen;22:Steam Achievements;35:In-App Purchases;18:Partial Controller Support;23:Steam Cloud;44:Remote Play Together;62:Family Sharing,True,False,False,Visual Concepts,4,English*;French;Italian;German;Spanish - Spain;Japanese;Korean;Simplified Chinese;Traditional Chinese*languages with full audio support,0,31.49,"Bragging rights are on the line in MyCAREER, MyTEAM, MyNBA, The W, and Play Now. Showcase your bag of moves with hyper realism, Powered by ProPLAY™, and challenge your friends, or rivals, in NBA 2K26’s competitive modes—and leave no doubt that you wear the crown.",13566.0,3327,2229
281990,Stellaris,"May 9, 2016",211,2:Single-player;1:Multi-player;27:Cross-Platform Multiplayer;22:Steam Achievements;29:Steam Trading Cards;30:Steam Workshop;23:Steam Cloud;62:Family Sharing,True,True,True,Paradox Development Studio,32,English;French;German;Spanish - Spain;Polish;Portuguese - Brazil;Russian;Simplified Chinese;Japanese;Korean,0,9.99,"Explore a galaxy full of wonders in this sci-fi grand strategy game from Paradox Development Studios. Interact with diverse alien races, discover strange new worlds with unexpected events and expand the reach of your empire. Each new adventure holds almost limitless possibilities.",9990.0,114834,17552
990080,Hogwarts Legacy,"Feb 10, 2023",45,2:Single-player;22:Steam Achievements;28:Full controller support;35:In-App Purchases;64:Adjustable Text Size;67:Camera Comfort;68:Custom Volume Controls;71:Narrated Game Menus;79:Save Anytime;69:Stereo Sound;70:Surround Sound;23:Steam Cloud;61:HDR available;62:Family Sharing,True,False,False,Avalanche Software,1,English*;French*;Italian*;German*;Spanish - Spain*;Arabic;Japanese*;Korean;Polish;Portuguese - Brazil*;Russian;Simplified Chinese;Spanish - Latin America*;Traditional Chinese*languages with full audio support,0,8.99,"Hogwarts Legacy is an immersive, open-world action RPG. Now you can take control of the action and be at the center of your own adventure in the wizarding world.",8451.0,226343,24573
553850,HELLDIVERS™ 2,"Feb 8, 2024",38,1:Multi-player;9:Co-op;38:Online Co-op;22:Steam Achievements;35:In-App Purchases;64:Adjustable Text Size;67:Camera Comfort;72:Chat Speech-to-text;73:Chat Text-to-speech;66:Color Alternatives;68:Custom Volume Controls;78:Adjustable Difficulty;71:Narrated Game Menus;74:Playable without Timed Input;69:Stereo Sound;65:Subtitle Options;70:Surround Sound;18:Partial Controller Support;62:Family Sharing,True,False,False,Arrowhead Game Studios,1,English*;French*;Italian*;German*;Spanish - Spain*;Japanese*;Korean;Portuguese - Brazil*;Spanish - Latin America*;Polish;Portuguese - Portugal;Russian;Simplified Chinese;Traditional Chinese*languages with full audio support,17,31.99,"The Galaxy’s Last Line of Offence. Enlist in the Helldivers and join the fight for freedom across a hostile galaxy in a fast, frantic, and ferocious third-person shooter.",13581.0,606778,176747
3028330,Battlefield™ REDSEC,"Oct 28, 2025",0,2:Single-player;1:Multi-player;49:PvP;36:Online PvP;27:Cross-Platform Multiplayer;22:Steam Achievements;28:Full controller support;35:In-App Purchases;23:Steam Cloud;61:HDR available,True,False,False,Battlefield Studios,0,English*;French*;Italian*;German*;Spanish - Spain*;Arabic;Japanese*;Korean*;Polish*;Portuguese - Brazil*;Simplified Chinese*;Spanish - Latin America*;Traditional Chinese*languages with full audio support,0,0.0,"Now entering REDSEC, the ultimate free-to-play FPS destination built on Battlefield’s iconic DNA. Featuring Battle Royale, Gauntlet, &amp; the power of Portal.",2.0,3823,4815
1401590,Disney Dreamlight Valley,"Dec 5, 2023",15,2:Single-player;1:Multi-player;28:Full controller support;35:In-App Purchases;67:Camera Comfort;68:Custom Volume Controls;74:Playable without Timed Input;79:Save Anytime;69:Stereo Sound;65:Subtitle Options;62:Family Sharing,True,False,False,Gameloft,4,English*;French*;Italian*;German*;Spanish - Spain*;Japanese;Simplified Chinese*languages with full audio support,0,27.99,Explore a world filled with the magic of Disney as you discover rich stories and build the perfect neighborhood alongside Disney and Pixar heroes and villains in this new life-sim adventure game. Welcome to Disney Dreamlight Valley.,2727.0,18521,1600
2139460,Once Human,"Jul 9, 2024",0,1:Multi-player;20:MMO;49:PvP;36:Online PvP;9:Co-op;38:Online Co-op;28:Full controller support;29:Steam Trading Cards;35:In-App Purchases,True,False,False,Starry Studio,2,English*;Simplified Chinese*;French;German;Japanese;Korean;Traditional Chinese;Portuguese - Brazil;Spanish - Latin America;Russian*languages with full audio support,0,0.0,"Once Human is a multiplayer open-world survival game set in a strange, post-apocalyptic future. Unite with friends to fight monstrous enemies, uncover secret plots, compete for resources, and build your own territory. Once, you were merely human. Now, you have the power to remake the world.",11544.0,30,1
3489700,Stellar Blade™,"Jun 11, 2025",45,2:Single-player;22:Steam Achievements;28:Full controller support;29:Steam Trading Cards;64:Adjustable Text Size;67:Camera Comfort;66:Color Alternatives;68:Custom Volume Controls;78:Adjustable Difficulty;74:Playable without Timed Input;69:Stereo Sound;65:Subtitle Options;70:Surround Sound;23:Steam Cloud;15:Stats;61:HDR available;62:Family Sharing,True,False,False,SHIFT UP Corporation,0,English*;French*;Italian*;German*;Spanish - Spain*;Arabic;Dutch;Swedish;Spanish - Latin America*;Thai;Danish;Turkish;Norwegian;Finnish;Portuguese - Brazil*;Portuguese - Portugal;Russian;Simplified Chinese*;Traditional Chinese;Japanese*;Korean*;Polish*languages with full audio support,17,47.99,Save humanity from extinction in post-apocalyptic action-adventure Stellar Blade™. Experience blistering combat and a twisting storyline as you unravel the mysteries of Earth’s downfall.,4433.0,44336,2731
1144200,Ready or Not,"Dec 13, 2023",56,2:Single-player;1:Multi-player;9:Co-op;38:Online Co-op;22:Steam Achievements;28:Full controller support;23:Steam Cloud,True,False,False,VOID Interactive,3,English*;French;German;Korean;Simplified Chinese;Italian;Spanish - Spain;Japanese;Polish;Portuguese - Portugal;Turkish;Russian*languages with full audio support,0,29.99,"Ready or Not is an intense, tactical, first-person shooter that depicts a modern-day world in which SWAT police units are called to defuse hostile and confronting situations.",3325.0,180288,54189
2623190,The Elder Scrolls IV: Oblivion Remastered,"Apr 22, 2025",60,2:Single-player;22:Steam Achievements;29:Steam Trading Cards;68:Custom Volume Controls;74:Playable without Timed Input;69:Stereo Sound;70:Surround Sound;18:Partial Controller Support;23:Steam Cloud;62:Family Sharing,True,False,False,Bethesda Game Studios,1,English*;French;Italian;German;Spanish - Spain;Japanese;Polish;Portuguese - Brazil;Simplified Chinese*languages with full audio support,17,33.49,Explore Cyrodiil like never before with stunning new visuals and refined gameplay in The Elder Scrolls IV: Oblivion™ Remastered.,1302.0,42076,11617
1817070,Marvel’s Spider-Man Remastered,"Aug 12, 2022",78,2:Single-player;22:Steam Achievements;64:Adjustable Text Size;67:Camera Comfort;66:Color Alternatives;68:Custom Volume Controls;78:Adjustable Difficulty;74:Playable without Timed Input;79:Save Anytime;69:Stereo Sound;65:Subtitle Options;70:Surround Sound;18:Partial Controller Support;23:Steam Cloud;43:Remote Play on TV;62:Family Sharing,True,False,False,Insomniac Games,0,English*;French*;Italian*;German*;Spanish - Spain*;Czech;Danish;Dutch;Finnish;Greek;Hungarian;Japanese*;Korean;Norwegian;Polish*;Portuguese - Portugal*;Portuguese - Brazil*;Russian*;Spanish - Latin America*;Swedish;Traditional Chinese*languages with full audio support,0,23.99,"In Marvel’s Spider-Man Remastered, the worlds of Peter Parker and Spider-Man collide in an original action-packed story. Play as an experienced Peter Parker, fighting big crime and iconic villains in Marvel’s New York. Web-swing through vibrant neighborhoods and defeat villains with epic takedowns.",4149.0,81166,3280
976730,Halo: The Master Chief Collection,"Dec 3, 2019",700,2:Single-player;1:Multi-player;49:PvP;36:Online PvP;47:LAN PvP;9:Co-op;38:Online Co-op;48:LAN Co-op;27:Cross-Platform Multiplayer;22:Steam Achievements;28:Full controller support;29:Steam Trading Cards;30:Steam Workshop;41:Remote Play on Phone;42:Remote Play on Tablet;43:Remote Play on TV;62:Family Sharing,True,False,False,343 Industries,6,English*;French*;Italian*;German*;Spanish - Spain*;Japanese;Polish;Portuguese - Portugal;Russian;Simplified Chinese;Spanish - Latin America;Traditional Chinese*languages with full audio support,18,9.99,"The Master Chief’s iconic journey includes six games, built for PC and collected in a single integrated experience. Whether you’re a long-time fan or meeting Spartan 117 for the first time, The Master Chief Collection is the definitive Halo gaming experience.",3712.0,209875,17493
394360,Hearts of Iron IV,"Jun 6, 2016",266,2:Single-player;1:Multi-player;9:Co-op;27:Cross-Platform Multiplayer;22:Steam Achievements;29:Steam Trading Cards;30:Steam Workshop;23:Steam Cloud;42:Remote Play on Tablet;62:Family Sharing,True,True,True,Paradox Development Studio,26,English;French;German;Polish;Portuguese - Brazil;Russian;Spanish - Spain;Japanese;Simplified Chinese;Korean,0,14.99,"Victory is at your fingertips! Your ability to lead your nation is your supreme weapon, the strategy game Hearts of Iron IV lets you take command of any nation in World War II; the most engaging conflict in world history.",32154.0,229837,22060
236390,War Thunder,"Aug 15, 2013",90,2:Single-player;1:Multi-player;20:MMO;49:PvP;36:Online PvP;9:Co-op;38:Online Co-op;27:Cross-Platform Multiplayer;22:Steam Achievements;28:Full controller support;53:VR Supported;29:Steam Trading Cards;35:In-App Purchases;64:Adjustable Text Size;67:Camera Comfort;66:Color Alternatives;68:Custom Volume Controls;74:Playable without Timed Input;69:Stereo Sound;70:Surround Sound;41:Remote Play on Phone;42:Remote Play on Tablet,True,True,True,Gaijin Entertainment,38,English*;German*;French*;Italian*;Spanish - Spain*;Simplified Chinese;Russian*;Japanese*;Polish*;Czech*;Turkish*;Portuguese - Portugal;Korean;Portuguese - Brazil;Hungarian;Ukrainian;Traditional Chinese;Romanian*languages with full audio support,0,0.0,"War Thunder is the most comprehensive free-to-play, cross-platform, MMO military game dedicated to aviation, armoured vehicles, and naval craft, from the early 20th century to the most advanced modern combat units. Join now and take part in major battles on land, in the air, and at sea.",35827.0,1288,515
